unique_key,descriptor,incident_zip,created_date,city,:@computed_region_sbqj_enih,cross_street_2,:@computed_region_efsh_h5xi,park_facility_name,:@computed_region_92fq_4b7q,intersection_street_1,landmark,agency_name,latitude,x_coordinate_state_plane,:@computed_region_yeji_bk3q,incident_address,location_type,cross_street_1,community_board,agency,park_borough,borough,street_name,complaint_type,longitude,:@computed_region_f5dn_yrer,status,y_coordinate_state_plane,intersection_street_2,bridge_highway_name,bridge_highway_segment,resolution_action_updated_date,closed_date,address_type,bridge_highway_direction,taxi_pick_up_location,facility_type,road_ramp,due_date
51279295,Loud Music/Party,10024,2021-07-22T02:07:13.000,NEW YORK,15,AMSTERDAM AVENUE,12421,Unspecified,19,JOHN L NELSON WAY,WEST   91 STREET,New York City Police Department,40.79060538759644,991983,4,124 WEST   91 STREET,Street/Sidewalk,JOHN L NELSON WAY,07 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,WEST   91 STREET,Noise - Street/Sidewalk,-73.97207335191396,20,In Progress,227317,AMSTERDAM AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51276756,Non-Chronic,N/A,2021-07-22T02:05:30.000,N/A,4,N/A,11723,Unspecified,32,N/A,N/A,Department of Homeless Services,40.7184624813724,987638,4,N/A,Subway,N/A,Unspecified MANHATTAN,DHS,MANHATTAN,MANHATTAN,N/A,Homeless Person Assistance,-73.98777795585599,70,In Progress,201032,N/A,J,Mezzanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51280279,Loud Music/Party,10455,2021-07-22T02:04:33.000,BRONX,23,EAST  156 STREET,10934,Unspecified,43,WHITE PLAINS ROAD LINE,CAULDWELL AVENUE,New York City Police Department,40.81952103393647,1009591,5,735 CAULDWELL AVENUE,Street/Sidewalk,WHITE PLAINS ROAD LINE,01 BRONX,NYPD,BRONX,BRONX,CAULDWELL AVENUE,Noise - Street/Sidewalk,-73.90844474246572,49,In Progress,237864,EAST  156 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277354,Loud Music/Party,10466,2021-07-22T02:03:39.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51281358,Loud Music/Party,11210,2021-07-22T02:03:14.000,BROOKLYN,40,EAST   32 STREET,17217,Unspecified,26,EAST   31 STREET,GLENWOOD ROAD,New York City Police Department,40.63408186153678,999071,2,3111 GLENWOOD ROAD,Residential Building/House,EAST   31 STREET,17 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,GLENWOOD ROAD,Noise - Residential,-73.94660156926045,61,In Progress,170294,EAST   32 STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51286812,Blocked Hydrant,11208,2021-07-22T02:02:23.000,BROOKLYN,47,DUMONT AVENUE,17215,Unspecified,25,BLAKE AVENUE,EUCLID AVENUE,New York City Police Department,40.670167565651546,1020136,2,669 EUCLID AVENUE,Street/Sidewalk,BLAKE AVENUE,05 BROOKLYN,NYPD,BROOKLYN,BROOKLYN,EUCLID AVENUE,Illegal Parking,-73.87063670338338,45,In Progress,183463,DUMONT AVENUE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277334,Loud Music/Party,10466,2021-07-22T02:01:03.000,BRONX,30,WHITE PLAINS ROAD LINE,11275,Unspecified,2,CARPENTER AVENUE,EAST  231 STREET,New York City Police Department,40.89238451539139,1023174,5,672 EAST  231 STREET,Residential Building/House,CARPENTER AVENUE,12 BRONX,NYPD,BRONX,BRONX,EAST  231 STREET,Noise - Residential,-73.8592161325675,29,In Progress,264429,WHITE PLAINS ROAD LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51277228,Blocked Hydrant,10035,2021-07-22T02:00:36.000,NEW YORK,16,METRO NORTH-CONNECTING RAIL LINE,13093,Unspecified,36,MADISON AVENUE,EAST  119 STREET,New York City Police Department,40.80167781379363,1000075,4,63 EAST  119 STREET,Street/Sidewalk,MADISON AVENUE,11 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,EAST  119 STREET,Illegal Parking,-73.94284071616485,7,In Progress,231355,METRO NORTH-CONNECTING RAIL LINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51284642,Banging/Pounding,10002,2021-07-22T02:00:01.000,NEW YORK,4,CHERRY STREET,11723,Unspecified,32,MADISON STREET,RUTGERS STREET,New York City Police Department,40.71070871355096,987123,4,55 RUTGERS STREET,Residential Building/House,MADISON STREET,03 MANHATTAN,NYPD,MANHATTAN,MANHATTAN,RUTGERS STREET,Noise - Residential,-73.98963699875588,70,In Progress,198207,CHERRY STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51285845,Loud Television,10455,2021-07-22T01:59:53.000,BRONX,23,RAE STREET,10933,Unspecified,43,WHITE PLAINS ROAD LINE,ST ANNS AVENUE,New York City Police Department,40.816937935331815,1008731,5,660 ST ANNS AVENUE,Residential Building/House,WHITE PLAINS ROAD LINE,01 BRONX,NYPD,BRONX,BRONX,ST ANNS AVENUE,Noise - Residential,-73.91155529636806,49,In Progress,236922,RAE STREET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
